ClusterID,Size
0,4250
1,4216
2,4126
3,4084
4,4023
5,4144
6,4144
7,3915
8,4208
9,3958
10,4009
11,4081
12,4285
13,4104
14,4166
15,4185
16,4058
17,4203
18,4199
19,4113
20,4042
21,4108
22,4075
23,4146
24,4133
25,4080
26,3983
27,3987
28,4124
29,4148
30,4043
31,4045
32,4080
33,4155
34,4315
35,4141
36,4154
37,4063
38,3983
39,4199
40,4024
41,4139
42,4097
43,4133
44,4149
45,4118
46,4302
47,4062
48,4170
49,4126
50,4200
51,4025
52,4159
53,4085
54,4027
55,4036
56,4061
57,4096
58,4079
59,4074
60,4020
61,4064
62,4186
63,4097
64,4085
65,3994
66,3996
67,4193
68,4009
69,3960
70,4020
71,3990
72,4100
73,4141
74,4097
75,4079
76,3984
77,4205
78,3932
79,4119
80,4115
81,4248
82,3943
83,4047
84,4092
85,4065
86,4248
87,4102
88,4028
89,4042
90,4122
91,4072
92,4230
93,4179
94,4082
95,4187
96,4013
97,4136
98,4095
99,4051
100,4031
101,4189
102,4156
103,4099
104,4000
105,3982
106,4166
107,4260
108,4131
109,4048
110,3994
111,4023
112,4172
113,3973
114,4261
115,3944
116,3940
117,4045
118,4078
119,4050
120,4102
121,4116
122,4193
123,4113
124,4119
125,4159
126,4077
127,4243
128,4103
129,4136
130,3997
131,4169
132,4054
133,4137
134,3956
135,4052
136,3964
137,4137
138,4125
139,4124
140,4101
141,3997
142,4137
143,4093
144,4117
145,4073
146,4127
147,4043
148,3982
149,3995
150,4143
151,4271
152,4082
153,4097
154,4000
155,4080
156,4065
157,4185
158,4264
159,3982
160,4217
161,4115
162,4208
163,4041
164,4117
165,4128
166,4032
167,4117
168,4149
169,4146
170,4011
171,4160
172,4247
173,4088
174,4170
175,4160
176,4058
177,4129
178,4124
179,4051
180,4064
181,3982
182,4059
183,3997
184,4045
185,4089
186,4099
187,4220
188,4118
189,4225
190,4027
191,4131
192,4108
193,4102
194,3997
195,4123
196,4218
197,4172
198,4028
199,4153
200,4061
201,4073
202,4039
203,4059
204,4098
205,4098
206,3995
207,4089
208,4151
209,4010
210,4169
211,4188
212,4009
213,4132
214,4103
215,4100
216,3960
217,4177
218,4158
219,4018
220,4174
221,4069
222,4064
223,3973
224,4029
225,4147
226,4123
227,4120
228,4001
229,4011
230,4133
231,4068
232,4052
233,4131
234,4066
235,3924
236,4203
237,4010
238,4109
239,3979
240,3997
241,4065
242,4179
243,4151
244,4077
245,4099
246,4011
247,4022
248,4057
249,4068
250,4139
251,4083
252,4001
253,4004
254,4232
255,4224
256,4111
257,3998
258,4138
259,4026
260,4055
