Method,WPQ,Threads_per_Q,Blocks,Time_ms,VRAM_Hits,DRAM_Misses,Status
Target_T,1,32,100,166.75,N/A,N/A,REF
BaM,1,32,100,398.80,126716,395560,PASS
Target_T,2,64,100,163.56,N/A,N/A,REF
BaM,2,64,100,296.82,469518,404527,PASS
Target_T,3,96,100,163.23,N/A,N/A,REF
BaM,3,96,100,262.02,502597,396489,PASS
Target_T,4,128,100,163.31,N/A,N/A,REF
BaM,4,128,100,381.40,524623,574031,PASS
Target_T,5,160,100,163.09,N/A,N/A,REF
BaM,5,160,100,304.36,573426,468437,PASS
Target_T,8,256,100,163.39,N/A,N/A,REF
BaM,8,256,100,514.81,345559,741279,PASS
Target_T,16,512,100,163.29,N/A,N/A,REF
BaM,16,512,100,525.28,359966,800382,PASS
Target_T,32,1024,100,170.99,N/A,N/A,REF
BaM,32,1024,100,462.66,506791,658667,PASS
