Method,WPQ,Threads_Per_Q,Blocks,Time_ms,VRAM_Hits,DRAM_Misses,Status
Target_T,1,32,100,170.58,N/A,N/A,REF
BaM,1,32,100,379.86,57783,456501,PASS
Target_T,2,64,100,170.59,N/A,N/A,REF
BaM,2,64,100,317.77,277960,460986,PASS
Target_T,4,128,100,170.40,N/A,N/A,REF
BaM,4,128,100,311.33,477672,489974,PASS
Target_T,8,256,100,170.55,N/A,N/A,REF
BaM,8,256,100,482.88,449413,700721,PASS
Target_T,16,512,100,170.53,N/A,N/A,REF
BaM,16,512,100,558.78,279851,840957,PASS
Target_T,32,1024,100,170.43,N/A,N/A,REF
BaM,32,1024,100,502.61,404688,759310,PASS
