Method,WPQ,Threads_Per_Q,Blocks,Time_ms,VRAM_Hits,DRAM_Misses,Status
Target_T,1,32,100,170.35,N/A,N/A,REF
BaM_2T,1,32,100,391.01,682888,457306,PASS
Target_T,2,64,100,170.25,N/A,N/A,REF
BaM_2T,2,64,100,362.24,610251,475201,PASS
Target_T,4,128,100,170.38,N/A,N/A,REF
BaM_2T,4,128,100,317.88,571607,479074,PASS
Target_T,8,256,100,170.35,N/A,N/A,REF
BaM_2T,8,256,100,318.13,520590,464889,PASS
Target_T,16,512,100,170.43,N/A,N/A,REF
BaM_2T,16,512,100,328.34,457542,462634,PASS
Target_T,32,1024,100,170.38,N/A,N/A,REF
BaM_2T,32,1024,100,324.22,380660,455853,PASS
