Method,TPN,Time_ms,Edges_Acc,T1_Hits,T2_T3_Hits,DRAM_Misses,Status
Target_T,32,1079.05,2145386542,N/A,N/A,N/A,REF
BaM,32,1383.81,2145386542,2142399545,865670,2121327,PASS
Target_T,64,1071.88,2145386542,N/A,N/A,N/A,REF
BaM,64,1274.49,2145386542,2143197902,67307,2121333,PASS
Target_T,96,996.62,2145386542,N/A,N/A,N/A,REF
BaM,96,1230.82,2145386542,2143038331,226875,2121336,PASS
Target_T,128,1015.04,2145386542,N/A,N/A,N/A,REF
BaM,128,1210.49,2145386542,2143135370,129838,2121334,PASS
Target_T,160,964.44,2145386542,N/A,N/A,N/A,REF
BaM,160,1221.09,2145386542,2142851859,413349,2121334,PASS
Target_T,192,973.67,2145386542,N/A,N/A,N/A,REF
BaM,192,1243.32,2145386542,2142822520,442687,2121335,PASS
Target_T,224,936.89,2145386542,N/A,N/A,N/A,REF
BaM,224,1293.38,2145386542,2142668140,597066,2121336,PASS
Target_T,256,964.46,2145386542,N/A,N/A,N/A,REF
BaM,256,1312.17,2145386542,2143008006,257201,2121335,PASS
Target_T,288,949.70,2145386542,N/A,N/A,N/A,REF
BaM,288,1376.83,2145386542,2142490573,774634,2121335,PASS
Target_T,320,945.90,2145386542,N/A,N/A,N/A,REF
BaM,320,1427.44,2145386542,2142459611,805596,2121335,PASS
