Method,TPN,Time_ms,Edges_Acc,T1_Hits,T2_T3_Hits,DRAM_Misses,Status
Target_T,32,1014.41,2145386542,N/A,N/A,N/A,REF
BaM,32,1383.41,2145386542,2142399116,866094,2121332,PASS
Target_T,64,967.46,2145386542,N/A,N/A,N/A,REF
BaM,64,1273.77,2145386542,2143197935,67273,2121334,PASS
Target_T,96,927.94,2145386542,N/A,N/A,N/A,REF
BaM,96,1231.62,2145386542,2143038331,226875,2121336,PASS
Target_T,128,957.18,2145386542,N/A,N/A,N/A,REF
BaM,128,1211.13,2145386542,2143135370,129838,2121334,PASS
Target_T,160,932.67,2145386542,N/A,N/A,N/A,REF
BaM,160,1221.65,2145386542,2142851859,413349,2121334,PASS
Target_T,192,946.36,2145386542,N/A,N/A,N/A,REF
BaM,192,1244.49,2145386542,2142822520,442687,2121335,PASS
Target_T,224,909.78,2145386542,N/A,N/A,N/A,REF
BaM,224,1294.22,2145386542,2142668140,597066,2121336,PASS
Target_T,256,936.14,2145386542,N/A,N/A,N/A,REF
BaM,256,1311.06,2145386542,2143008006,257200,2121336,PASS
Target_T,288,905.05,2145386542,N/A,N/A,N/A,REF
BaM,288,1372.89,2145386542,2142490573,774634,2121335,PASS
Target_T,320,933.48,2145386542,N/A,N/A,N/A,REF
BaM,320,1420.88,2145386542,2142459611,805596,2121335,PASS
