Method,TPN,Time_ms,Edges_Acc,T1_Hits,T2_T3_Hits,DRAM_Misses,Status
Target_T,32,1014.84,2145386542,N/A,N/A,N/A,REF
BaM_2T,32,1350.59,2145386542,2140230713,3034500,2121329,PASS
Target_T,64,967.50,2145386542,N/A,N/A,N/A,REF
BaM_2T,64,1257.49,2145386542,2137713784,5551426,2121332,PASS
Target_T,96,927.51,2145386542,N/A,N/A,N/A,REF
BaM_2T,96,1190.31,2145386542,2133210556,10054652,2121334,PASS
Target_T,128,956.95,2145386542,N/A,N/A,N/A,REF
BaM_2T,128,1172.87,2145386542,2131902193,11363014,2121335,PASS
Target_T,160,932.92,2145386542,N/A,N/A,N/A,REF
BaM_2T,160,1189.60,2145386542,2127480234,15784975,2121333,PASS
Target_T,192,946.70,2145386542,N/A,N/A,N/A,REF
BaM_2T,192,1210.83,2145386542,2124713556,18551652,2121334,PASS
Target_T,224,909.67,2145386542,N/A,N/A,N/A,REF
BaM_2T,224,1258.46,2145386542,2121952940,21312268,2121334,PASS
Target_T,256,936.86,2145386542,N/A,N/A,N/A,REF
BaM_2T,256,1288.58,2145386542,2120718620,22546588,2121334,PASS
Target_T,288,906.89,2145386542,N/A,N/A,N/A,REF
BaM_2T,288,1380.57,2145386542,2116710918,26554290,2121334,PASS
Target_T,320,933.00,2145386542,N/A,N/A,N/A,REF
BaM_2T,320,1436.52,2145386542,2114295289,28969918,2121335,PASS
