=== Three-Tier TLB BFS Only (scale=18) ===

Generating RMAT graph: scale=18, nodes=262144, target_edges=4194304
  After dedup: 7611804 directed edges (29.0 MB edge data)
  Avg degree: 29.0, Max degree: 25181
Graph: 262144 nodes, 7611804 edges (29.0 MB)
Pages: 7434
Source: 0 (degree 25181)

[Target T]...
  21.34 ms, 4 levels, 174003 reached

[3-Tier TLB, 100% cache]...
  Cache: 7434 slots (29.0 MB)
  Level 0 (frontier=1)...
  Level 1 (frontier=25181)...
TLB conflict: c=100000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=100000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=100000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=200000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=200000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=200000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=300000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=300000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=300000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=400000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=400000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=400000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=500000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=500000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=500000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=600000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=600000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=600000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=700000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=700000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=700000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=800000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=800000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=800000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=900000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=900000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=900000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=1000000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=1000000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=1000000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=1100000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=1100000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=1100000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=1200000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=1200000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=1200000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=1300000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=1300000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=1300000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=1400000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=1400000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=1400000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=1500000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=1500000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=1500000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=1600000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=1600000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=1600000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=1700000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=1700000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=1700000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=1800000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=1800000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=1800000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=1900000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=1900000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=1900000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=2000000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=2000000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=2000000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=2100000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=2100000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=2100000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=2200000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=2200000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=2200000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=2300000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=2300000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=2300000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=2400000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=2400000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=2400000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=2500000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=2500000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=2500000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=2600000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=2600000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=2600000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=2700000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=2700000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=2700000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=2800000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=2800000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=2800000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=2900000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=2900000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=2900000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=3000000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=3000000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=3000000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=3100000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=3100000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=3100000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=3200000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=3200000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=3200000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=3300000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=3300000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=3300000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=3400000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=3400000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=3400000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=3500000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=3500000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=3500000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=3600000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=3600000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=3600000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=3700000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=3700000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=3700000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=3800000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=3800000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=3800000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=3900000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=3900000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=3900000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=4000000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=4000000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=4000000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=4100000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=4100000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=4100000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=4200000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=4200000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=4200000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=4300000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=4300000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=4300000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=4400000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=4400000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=4400000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=4500000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=4500000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=4500000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=4600000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=4600000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=4600000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=4700000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=4700000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=4700000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=4800000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=4800000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=4800000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=4900000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=4900000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=4900000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=5000000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=5000000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=5000000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=5100000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=5100000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=5100000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=5200000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=5200000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=5200000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=5300000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=5300000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=5300000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=5400000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=5400000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=5400000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=5500000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=5500000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=5500000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=5600000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=5600000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=5600000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=5700000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=5700000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=5700000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=5800000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=5800000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=5800000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=5900000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=5900000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=5900000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=6000000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=6000000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=6000000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=6100000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=6100000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=6100000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=6200000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=6200000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=6200000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=6300000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=6300000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=6300000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=6400000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=6400000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=6400000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=6500000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=6500000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=6500000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=6600000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=6600000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=6600000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=6700000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=6700000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=6700000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=6800000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=6800000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=6800000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=6900000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=6900000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=6900000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=7000000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=7000000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=7000000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=7100000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=7100000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=7100000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=7200000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=7200000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=7200000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=7300000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=7300000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=7300000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=7400000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=7400000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=7400000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=7500000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=7500000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=7500000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=7600000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=7600000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=7600000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=7700000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=7700000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=7700000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=7800000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=7800000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=7800000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=7900000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=7900000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=7900000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=8000000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=8000000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=8000000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=8100000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=8100000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=8100000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=8200000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=8200000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=8200000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=8300000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=8300000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=8300000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=8400000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=8400000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=8400000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=8500000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=8500000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=8500000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=8600000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=8600000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=8600000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=8700000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=8700000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=8700000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=8800000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=8800000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=8800000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=8900000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=8900000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=8900000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=9000000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=9000000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=9000000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=9100000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=9100000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=9100000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=9200000 tid=196 wanted=357 got=101 st=0x1
